"","beer_beerid","beer_name","beer_abv","brewery_name","review_overall","review_aroma","review_appearance","review_palate","review_taste","n_reviews","beer_style"
"39",97,"Special Amber",5,"Sprecher Brewing Company",3.7373417721519,3.45886075949367,3.69303797468354,3.63924050632911,3.59493670886076,158,"Lager"
"40",104,"Samuel Adams Boston Lager",4.9,"Boston Beer Company (Samuel Adams)",4.04425144747725,3.66335814722911,3.88647642679901,3.7741935483871,3.87241521918941,2418,"Lager"
"41",109,"Samuel Adams Golden Pilsner",4.63,"Boston Beer Company (Samuel Adams)",3.68181818181818,3.40909090909091,3.77272727272727,3.31818181818182,3.59090909090909,11,"Pilsener"
"42",120,"Pick Axe IPA",6.2,"Tommyknocker Brewery",3.57874015748031,3.63582677165354,3.66535433070866,3.43700787401575,3.52952755905512,254,"IPA"
"43",133,"Ayinger Jahrhundert Bier",5.5,"Privatbrauerei Franz Inselkammer KG / Brauerei Aying",4.1566265060241,3.72650602409639,3.8566265060241,3.95180722891566,3.96506024096386,415,"Lager"
"44",134,"Ayinger Altbairisch Dunkel",5,"Privatbrauerei Franz Inselkammer KG / Brauerei Aying",4.04366812227074,3.82532751091703,4.0174672489083,3.85917030567686,3.96615720524017,458,"Lager"
"45",137,"König Pilsener",4.9,"König-Brauerei GmbH",3.87162162162162,3.58333333333333,3.6981981981982,3.65315315315315,3.70045045045045,222,"Pilsener"
"46",147,"Brooklyn East India Pale Ale",6.8,"Brooklyn Brewery",3.71766743648961,3.60450346420323,3.68879907621247,3.6229792147806,3.64376443418014,866,"IPA"
"47",148,"Brooklyn Lager",5.2,"Brooklyn Brewery",4.02497729336966,3.72615803814714,3.89191643960036,3.75158946412352,3.86466848319709,1101,"Lager"
"48",149,"Kinmount Willie Oatmeal Stout",4.2,"Broughton Ales Ltd",3.49264705882353,3.52941176470588,3.80147058823529,3.47794117647059,3.5,68,"Stout"
"49",156,"Piraat Ale",10.5,"Brouwerij Van Steenberge N.V.",3.91488162344983,3.97857948139797,4.10822998872604,3.99774520856821,4.06989853438557,887,"IPA"
"50",158,"Alimony Ale",6.8,"Buffalo Bill's Brewery",3.48484848484848,3.46969696969697,3.73232323232323,3.51515151515152,3.47979797979798,99,"IPA"
"51",161,"Tennent's Lager",5,"Tennent Caledonian Breweries",3.41768292682927,2.93292682926829,3.32926829268293,3.22560975609756,3.17073170731707,164,"Lager"
"52",171,"Dos Equis Amber Lager",4.5,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",3.35043988269795,2.8841642228739,3.27932551319648,3.06671554252199,3.08870967741935,682,"Lager"
"53",174,"Concord Pale Ale",NA,"Concord Brewery",3.43333333333333,3.46666666666667,3.66666666666667,3.48333333333333,3.45,30,"APA"
"54",176,"Benchwarmer Porter",6.3,"Cooperstown Brewing Company",3.8587786259542,3.75190839694656,3.8587786259542,3.68320610687023,3.88167938931298,131,"Porter"
"55",178,"Strike Out Stout",4.6,"Cooperstown Brewing Company",3.47916666666667,3.49479166666667,3.71875,3.265625,3.484375,96,"Stout"
"56",179,"Cottrell Old Yankee Ale",5,"Cottrell Brewing Co.",4.02713178294574,3.73255813953488,3.89147286821705,3.86434108527132,3.88372093023256,129,"APA"
"57",182,"Smuttynose Portsmouth Lager",4.5,"Smuttynose Brewing Company",3.89506172839506,3.46707818930041,3.62962962962963,3.68106995884774,3.69135802469136,243,"Lager"
"58",185,"Smuttynose Imperial Stout (Big Beer Series)",9.8,"Smuttynose Brewing Company",3.97086614173228,4.03858267716535,4.20708661417323,4.04566929133858,4.07952755905512,635,"Stout"
"59",186,"Smuttynose Shoals Pale Ale",5.4,"Smuttynose Brewing Company",3.94628099173554,3.69090909090909,3.90082644628099,3.80578512396694,3.87520661157025,605,"APA"
"60",193,"Geary's London Style Porter",4.2,"D.L. Geary Brewing Company",3.91158536585366,3.75,3.82317073170732,3.63719512195122,3.77743902439024,164,"Porter"
"61",195,"Mirror Pond Pale Ale",5,"Deschutes Brewery",4.09752547307132,3.79694323144105,3.88136826783115,3.80494905385735,3.94541484716157,687,"APA"
"62",197,"Obsidian Stout",6.4,"Deschutes Brewery",4.25,4.07796391752577,4.30476804123711,4.12113402061856,4.26675257731959,776,"Stout"
"63",198,"Black Butte Porter",5.2,"Deschutes Brewery",4.26772030651341,4.02538314176245,4.06130268199234,4.0014367816092,4.19396551724138,1044,"Porter"
"64",205,"Snake Dog IPA",7.1,"Flying Dog Brewery",3.62028301886792,3.57358490566038,3.74103773584906,3.50754716981132,3.50660377358491,1060,"IPA"
"65",206,"Road Dog Porter",6,"Flying Dog Brewery",3.61952440550688,3.46057571964956,3.64705882352941,3.40675844806008,3.55193992490613,799,"Porter"
"66",208,"Bee Sting Honey Ale",5.9,"Great Divide Brewing Company",3.51219512195122,3.45121951219512,3.58536585365854,3.29268292682927,3.45121951219512,41,"APA"
"67",211,"Full Sail Pilsner",5.4,"Full Sail Brewery & Tasting Room & Pub",4.2,3.7,4.1,4.1,3.9,5,"Pilsener"
"68",213,"Full Sail Amber",5.5,"Full Sail Brewery & Tasting Room & Pub",3.86479591836735,3.59821428571429,3.81632653061224,3.69260204081633,3.74872448979592,392,"Red Ale"
"69",214,"Full Sail Pale Ale",5.4,"Full Sail Brewery & Tasting Room & Pub",3.85734072022161,3.55817174515235,3.75346260387812,3.68282548476454,3.71052631578947,361,"APA"
"70",215,"Imperial Porter",7,"Full Sail Brewery & Tasting Room & Pub",4.11666666666667,4.13333333333333,4.33333333333333,4.18333333333333,4.26666666666667,30,"Porter"
"71",221,"Fuller's London Porter",5.4,"Fuller Smith & Turner PLC",4.27362020579981,4.14967259120673,4.09869036482694,4.10430308699719,4.27970065481759,1069,"Porter"
"72",225,"Great Lakes Burning River Pale Ale",6,"Great Lakes Brewing Company",4.12958963282937,3.88714902807775,3.98326133909287,3.94978401727862,4.07451403887689,926,"APA"
"73",226,"Great Lakes Edmund Fitzgerald Porter",5.8,"Great Lakes Brewing Company",4.32972972972973,4.17807807807808,4.23603603603604,4.16696696696697,4.36906906906907,1665,"Porter"
"74",228,"Great Lakes Dortmunder Gold",5.8,"Great Lakes Brewing Company",4.29520089285714,3.86551339285714,4.0703125,4.04966517857143,4.15792410714286,896,"Lager"
"75",229,"Great Lakes Eliot Ness",6.2,"Great Lakes Brewing Company",4.20918984280532,3.88391777509069,4.11729141475212,4.06045949214027,4.14328899637243,827,"Lager"
"76",232,"Corona Extra",4.6,"Grupo Modelo S.A. de C.V.",2.6081204379562,1.95027372262774,2.29105839416058,2.30063868613139,2.1875,1096,"Lager"
"77",233,"Corona Light",4.1,"Grupo Modelo S.A. de C.V.",1.95760233918129,1.64035087719298,1.91520467836257,1.81578947368421,1.66081871345029,342,"Lager"
"78",235,"Burton Bridge Empire India Pale Ale",7.5,"Burton Bridge Brewery",3.61678832116788,3.62773722627737,3.86496350364964,3.68248175182482,3.59489051094891,137,"IPA"
"79",239,"Hammer & Nail Vienna Style Lager",NA,"Hammer & Nail Brewers",4.25,3.83333333333333,3.91666666666667,4.08333333333333,4.25,6,"Lager"
"80",246,"Heineken Lager Beer",5,"Heineken Nederland B.V.",3.02523659305994,2.51222397476341,2.87421135646688,2.84187697160883,2.74921135646688,1268,"Lager"
"81",250,"Hyland American Pale Ale",6,"Pioneer Brewing Co.",3.875,3.52777777777778,3.77777777777778,3.72222222222222,3.66666666666667,36,"APA"
"82",251,"Hyland Amber Ale",5.25,"Pioneer Brewing Co.",3.70967741935484,3.38709677419355,3.61290322580645,3.51612903225806,3.43548387096774,31,"Red Ale"
"83",259,"Ipswich India Pale Ale (I.P.A.)",6.5,"Ipswich Ale Brewery",3.94142259414226,3.85774058577406,3.97280334728033,3.95188284518828,3.90585774058577,239,"IPA"
"84",260,"Ipswich Oatmeal Stout",7,"Ipswich Ale Brewery",4.1513353115727,4.12166172106825,4.23145400593472,4.13204747774481,4.21216617210682,337,"Stout"
"85",261,"Iron Range Amber Lager",4.48,"James Page Brewing Company",3.44736842105263,3.2280701754386,3.44736842105263,3.2280701754386,3.29824561403509,57,"Lager"
"86",262,"Saint Bridget's Porter",5.9,"Great Divide Brewing Company",3.81047619047619,3.7152380952381,3.81333333333333,3.60285714285714,3.73333333333333,525,"Porter"
"87",263,"Schlitz",4.6,"JOS. Schlitz Brewing Co. (Pabst)",3.50712250712251,2.75213675213675,2.96296296296296,3.05270655270655,3.16951566951567,351,"Lager"
"88",264,"Alexander Keith's India Pale Ale",5,"Alexander Keith's",3.01593625498008,2.44621513944223,2.66135458167331,2.74501992031872,2.52589641434263,251,"IPA"
"89",266,"Kingfisher Premium Lager",4.8,"United Breweries - UB Group",2.97492163009404,2.61912225705329,2.90282131661442,2.86677115987461,2.7742946708464,319,"Lager"
"90",267,"Pilsener",3.9,"Cerveceria La Constancia S.A. / BevCo Ltd",3.05405405405405,2.63513513513514,2.7972972972973,2.94594594594595,2.86486486486486,37,"Pilsener"
"91",268,"Suprema",4.5,"Cerveceria La Constancia S.A. / BevCo Ltd",3.25714285714286,2.88571428571429,3.41428571428571,3.08571428571429,3.01428571428571,35,"Lager"
"92",270,"IPA",5.9,"Long Trail Brewing Co.",3.80716253443526,3.56198347107438,3.67493112947658,3.60468319559229,3.63223140495868,363,"IPA"
"93",276,"Sierra Nevada Pale Ale",5.6,"Sierra Nevada Brewing Co.",4.24584460765365,3.91553923463471,3.99516814843448,3.96695013529184,4.11538461538461,2587,"APA"
"94",279,"Sierra Nevada Porter",5.6,"Sierra Nevada Brewing Co.",4.048683160415,3.79928172386273,4.04748603351955,3.84716679968077,3.98084596967279,1253,"Porter"
"95",280,"Löwenbräu Original",5.2,"Löwenbräu AG",3.61631016042781,3.0975935828877,3.3048128342246,3.39171122994652,3.40775401069519,374,"Lager"
"96",281,"Löwenbräu Premium Dark",5.5,"Löwenbräu AG",3.92105263157895,3.18421052631579,3.5,3.65789473684211,3.65789473684211,19,"Lager"
"97",283,"Sierra Nevada Stout",5.8,"Sierra Nevada Brewing Co.",4.1369918699187,3.93861788617886,4.19634146341463,4.00325203252032,4.11869918699187,1230,"Stout"
"98",286,"Ravell",4.8,"Magic Hat Brewing Company",3.76691729323308,3.90601503759398,3.87218045112782,3.58646616541353,3.82330827067669,133,"Porter"
"99",287,"Summer Ale",5.1,"Shipyard Brewing Co.",3.20718232044199,2.96132596685083,3.27348066298343,3.16574585635359,3.00828729281768,181,"APA"
"100",290,"Longfellow Winter Ale",5.9,"Shipyard Brewing Co.",3.89784946236559,3.78494623655914,3.99462365591398,3.83870967741935,3.93010752688172,93,"Porter"
"101",291,"Blue Fin Stout",4.7,"Shipyard Brewing Co.",3.6283185840708,3.61504424778761,3.92920353982301,3.44911504424779,3.57964601769911,226,"Stout"
"102",294,"Bob's 1st Ale",4.8,"Magic Hat Brewing Company",4.1,4.1,4.4,3.8,4.2,5,"Red Ale"
"103",295,"Fat Angel",5,"Magic Hat Brewing Company",3.65466101694915,3.47245762711864,3.59745762711864,3.45974576271186,3.48093220338983,236,"APA"
"104",297,"Heart Of Darkness",5.3,"Magic Hat Brewing Company",4.02290076335878,4.02290076335878,4.07251908396947,3.80916030534351,4.04198473282443,131,"Stout"
"105",298,"Blind Faith",6.2,"Magic Hat Brewing Company",3.84642032332563,3.70554272517321,3.84872979214781,3.67205542725173,3.79214780600462,433,"IPA"
"106",304,"Original Porter",4.8,"Shepherd Neame Ltd",3.78571428571429,3.57142857142857,4.07142857142857,3.64285714285714,3.78571428571429,7,"Porter"
"107",311,"Harpoon IPA",5.9,"Harpoon Brewery",3.82909728308501,3.56485539000876,3.69193689745837,3.58939526730938,3.60517090271692,1141,"IPA"
"108",312,"Harpoon Ale",4.9,"Harpoon Brewery",3.80097087378641,3.43446601941748,3.62378640776699,3.54611650485437,3.49757281553398,206,"APA"
"109",314,"Harpoon Munich Type Dark Beer",5.6,"Harpoon Brewery",3.89664804469274,3.67737430167598,3.85474860335196,3.70530726256983,3.81284916201117,358,"Lager"
"110",315,"Harpoon Pilsner",NA,"Harpoon Brewery",3.75,3.6,3.9,3.55,3.6,10,"Pilsener"
"111",319,"Saranac Pilsener",5.3,"Matt Brewing Company",3.76785714285714,3.29761904761905,3.51190476190476,3.42261904761905,3.52380952380952,84,"Pilsener"
"112",320,"Saranac Lager",4.7,"Matt Brewing Company",3.5,2.96959459459459,3.26351351351351,3.15878378378378,3.15540540540541,148,"Lager"
"113",322,"McNeill's Oatmeal Stout",4.9,"McNeill's Brewery",3.75833333333333,3.80833333333333,4.03333333333333,3.775,3.80833333333333,60,"Stout"
"114",324,"McNeill's Champ Ale",5.5,"McNeill's Brewery",3.74390243902439,3.75609756097561,3.86585365853659,3.6219512195122,3.75609756097561,41,"APA"
"115",325,"McNeill's Firehouse Amber Ale",5.6,"McNeill's Brewery",3.72307692307692,3.59230769230769,3.73846153846154,3.56153846153846,3.68461538461538,65,"Red Ale"
"116",328,"Syracuse Pale Ale",5,"Middle Ages Brewing Co., Ltd.",3.72222222222222,3.45061728395062,3.59876543209877,3.51234567901235,3.41358024691358,81,"APA"
"117",330,"Grail Ale",5,"Middle Ages Brewing Co., Ltd.",3.67142857142857,3.58214285714286,3.76785714285714,3.55714285714286,3.58928571428571,140,"Red Ale"
"118",331,"ImPaled Ale",6.5,"Middle Ages Brewing Co., Ltd.",3.80805687203791,3.72748815165877,3.96682464454976,3.76303317535545,3.80094786729858,211,"IPA"
"119",332,"Miller Lite",4.17,"Miller Brewing Co.",2.7583179297597,2.00739371534196,2.34981515711645,2.26016635859519,2.20887245841035,1082,"Lager"
"120",335,"Millstream Lager",NA,"Millstream Brewing Company",3.94444444444444,3.5,3.61111111111111,3.61111111111111,3.83333333333333,9,"Lager"
"121",336,"Millstream Schild Brau Amber",4.9,"Millstream Brewing Company",3.71491228070175,3.44298245614035,3.57456140350877,3.53508771929825,3.57017543859649,114,"Lager"
"122",339,"Stone Cat I.P.A.",NA,"Ipswich Ale Brewery",3.75,3.5625,3.78125,3.6875,3.59375,16,"IPA"
"123",347,"Sea Dog Old East India Pale Ale",6.2,"Sea Dog Brewing Company",3.61153846153846,3.37692307692308,3.68461538461538,3.5,3.47307692307692,130,"IPA"
"124",349,"Jupiler",5.2,"Brasserie Piedboeuf",3.19718309859155,2.73943661971831,3.15492957746479,2.88028169014085,2.86619718309859,71,"Lager"
"125",353,"Mocha Porter",5.3,"Rogue Ales",3.90402476780186,3.8390092879257,4.04721362229102,3.79102167182663,3.92801857585139,1292,"Porter"
"126",356,"Imperial Stout",11,"Rogue Ales",3.87995198079232,4.12364945978391,4.33373349339736,4.20048019207683,4.15366146458583,833,"Stout"
"127",358,"XS Imperial India Pale Ale",9.5,"Rogue Ales",4.03901170351105,4.20676202860858,4.07997399219766,4.11898569570871,4.19960988296489,769,"IPA"
"128",361,"Brutal Bitter Ale",5.8,"Rogue Ales",4.09576515880654,3.96294513955727,4.01780558229066,3.97882579403272,4.09047160731473,1039,"IPA"
"129",363,"American Amber Ale",5.6,"Rogue Ales",3.9792531120332,3.80843706777317,3.95712309820194,3.850622406639,3.91078838174274,723,"Red Ale"
"130",366,"Rockies Fall Fest Amber Ale",5.13,"Boulder Beer / Wilderness Pub",3.75,3.70588235294118,3.85294117647059,3.51470588235294,3.63235294117647,34,"Red Ale"
"131",367,"Boulder, Extra Pale Ale",NA,"Boulder Beer / Wilderness Pub",4.2,4.1,3.9,4,4.2,5,"APA"
"132",383,"Penn Dark",5,"Pennsylvania Brewing Company",4.03703703703704,3.70164609053498,3.88888888888889,3.81069958847737,3.90123456790123,243,"Lager"
"133",384,"Penn Gold",4,"Pennsylvania Brewing Company",4.10683760683761,3.58974358974359,3.6965811965812,3.8034188034188,3.8034188034188,117,"Lager"
"134",385,"Penn Pilsner",4,"Pennsylvania Brewing Company",3.80666666666667,3.47111111111111,3.66,3.68888888888889,3.66,225,"Lager"
"135",388,"Paulaner Original Münchner",4.9,"Paulaner Brauerei GmbH & Co. KG",3.99004975124378,3.53358208955224,3.62935323383085,3.66666666666667,3.73756218905473,402,"Lager"
"136",390,"India'n Pale Ale",NA,"Paper City Brewery Co., Inc.",3.6,3.34615384615385,3.66153846153846,3.54615384615385,3.51538461538462,65,"IPA"
"137",391,"Holyoke Dam Ale",NA,"Paper City Brewery Co., Inc.",3.73333333333333,3.53333333333333,3.725,3.54166666666667,3.61666666666667,60,"APA"
"138",396,"The Three Stooges Beer",NA,"Panther Brewing Company",2.46875,2.171875,2.453125,2.34375,2.421875,32,"Lager"
"139",398,"Wolaver's Pale Ale",5.8,"Otter Creek Brewing / Wolaver's",3.69655172413793,3.50689655172414,3.70344827586207,3.66206896551724,3.66896551724138,145,"APA"
"140",399,"Wolaver's India Pale Ale",6.5,"Otter Creek Brewing / Wolaver's",3.66342412451362,3.46692607003891,3.784046692607,3.56809338521401,3.55058365758755,257,"IPA"
"141",400,"Premium Dark",NA,"Paderborner Isenbeck Brauerei Haus Cramer GmbH & Co. KG",3.57692307692308,3.5,3.5,3.46153846153846,3.53846153846154,13,"Lager"
"142",403,"ACME California IPA",6.5,"North Coast Brewing Co.",3.78061224489796,3.5530612244898,3.83775510204082,3.69489795918367,3.68673469387755,490,"IPA"
"143",406,"ACME California Pale Ale",5,"North Coast Brewing Co.",3.62977099236641,3.29389312977099,3.55725190839695,3.40458015267176,3.40839694656489,262,"APA"
"144",408,"Old #38 Stout",5.6,"North Coast Brewing Co.",3.88347826086957,3.82173913043478,3.91478260869565,3.71130434782609,3.82347826086957,575,"Stout"
"145",409,"Scrimshaw Pilsner",4.4,"North Coast Brewing Co.",3.92795138888889,3.56597222222222,3.70486111111111,3.67447916666667,3.68489583333333,576,"Pilsener"
"146",410,"Ruedrich's Red Seal Ale",5.5,"North Coast Brewing Co.",4.04284221525601,3.81609195402299,3.94618599791014,3.81556948798328,3.93364681295716,957,"Red Ale"
"147",412,"Old Rasputin Russian Imperial Stout",9,"North Coast Brewing Co.",4.17422050787528,4.19864995178399,4.37399549983928,4.23175827708132,4.34217293474767,3111,"Stout"
"148",429,"Pilsner Urquell",4.4,"Plzensky Prazdroj, a. s.",3.83054892601432,3.44510739856802,3.69490851233095,3.64240254574383,3.66030230708035,1257,"Pilsener"
"149",431,"Otter Creek Stovepipe Porter",4.4,"Otter Creek Brewing / Wolaver's",3.83641975308642,3.75411522633745,3.82921810699588,3.64609053497942,3.80555555555556,486,"Porter"
"150",432,"Otter Creek Pale Ale",4.6,"Otter Creek Brewing / Wolaver's",3.783203125,3.58203125,3.708984375,3.59375,3.6171875,256,"APA"
"151",436,"Amstel Light",3.5,"Amstel Brouwerij B. V.",2.71935483870968,2.23118279569892,2.56881720430108,2.4505376344086,2.36344086021505,465,"Lager"
"152",437,"Nutfield Harvest Ale",NA,"Old Nutfield Brewing Company, Ltd.",3.5,3.5,3.78571428571429,3.42857142857143,3.57142857142857,7,"Red Ale"
"153",438,"Le Coq Imperial Extra Double Stout",10,"Harvey & Son Ltd.",3.08044554455446,3.6980198019802,3.71782178217822,3.47029702970297,3.43564356435644,404,"Stout"
"154",442,"Lobkowicz Baron",4.7,"Brewery Lobkowicz",3.8,3.6,3.74444444444444,3.63333333333333,3.76666666666667,45,"Lager"
"155",444,"Lobkowicz Knight",4.8,"Brewery Lobkowicz",3.83333333333333,3.5,3.375,3.70833333333333,3.72916666666667,24,"Pilsener"
"156",449,"Stella Artois",5,"Stella Artois",3.31590909090909,2.81893939393939,3.23030303030303,3.11477272727273,3.05909090909091,1320,"Lager"
"157",458,"Veltins Pilsner",4.8,"Brauerei C. & A. Veltins GmbH & Co.",3.73913043478261,3.28260869565217,3.5,3.46086956521739,3.46086956521739,115,"Pilsener"
"158",461,"MacTarnahan's Amber Ale",5,"Portland Brewing Company",3.65584415584416,3.49675324675325,3.54545454545455,3.3961038961039,3.48376623376623,154,"Red Ale"
"159",463,"Oregon Honey Beer",NA,"Portland Brewing Company",2.95882352941176,2.70588235294118,2.9,2.79411764705882,2.65294117647059,85,"APA"
"160",464,"Zig-Zag Lager",NA,"Portland Brewing Company",3.5,3.58333333333333,3.41666666666667,3,3.25,6,"Lager"
"161",465,"Haystack Black Porter",NA,"Portland Brewing Company",3.7,3.7,3.3,3.7,4.1,5,"Porter"
"162",477,"Irish Dry Stout",3.9,"John Harvard's Brewery & Ale House",4.03333333333333,3.7,4.2,3.83333333333333,3.9,15,"Stout"
"163",483,"Milk Stout",NA,"John Harvard's Brewery & Ale House",4.19230769230769,3.73076923076923,4.07692307692308,4.23076923076923,4.15384615384615,13,"Stout"
"164",488,"India Pale Ale (IPA)",NA,"John Harvard's Brewery & Ale House",3.97727272727273,3.88636363636364,3.95454545454545,3.86363636363636,3.95454545454545,22,"IPA"
"165",505,"Big Man Ale",6.8,"Cambridge Brewing Company",4.14285714285714,4.04285714285714,3.97142857142857,4.07142857142857,4.12857142857143,35,"IPA"
"166",511,"Beantowne Espresso Stout",5.6,"Cambridge Brewing Company",3.9,4.15,3.95,3.7,4.1,10,"Stout"
"167",513,"Tall Tale Pale Ale",5.9,"Cambridge Brewing Company",3.86363636363636,3.75454545454545,3.72727272727273,3.83636363636364,3.86363636363636,55,"APA"
"168",514,"Cambridge Amber",4.9,"Cambridge Brewing Company",3.77586206896552,3.67241379310345,3.81034482758621,3.68965517241379,3.77586206896552,29,"Red Ale"
"169",515,"Charles River Porter",5.9,"Cambridge Brewing Company",4.03731343283582,3.94029850746269,4.02985074626866,3.91791044776119,4.02985074626866,67,"Porter"
